
You remember darkness. And the cold. Cold and darkness. And silence. Those memories are all that you have. That, and a feeling that something you never knew you possessed has been lost.

Suddenly, oblivion is split by a blinding light and a crash of sound. You awaken to the roar of a storm and a deluge of rain and mud.

The Awakening
Copyright (c) 1998 by Dennis Matheson
(For more information type "HELP", for hints type "HINTS")

Release 1 / Serial number 980726 / Inform v6.15 Library 6/7

In the Mud
Rain and muddy water are pouring down on you, making it difficult to see or even breathe. Sodden earth and mud surrounds you on all sides except overhead, where flashes of lightning illuminate a storm tossed sky.
> search for shelter
You can't see any such thing.
> search for cave
You can't see any such thing.
> search for tree hollow
You can't see any such thing.
> search for abandoned shack
You can't see any such thing.
> search for overhang
You can't see any such thing.
> search for rock ledge
You can't see any such thing.
> search for hidden entrance
You can't see any such thing.
> search for a cave entrance
You can't see any such thing.
> search for a hidden path
You can't see any such thing.
> search for a hidden trail
You can't see any such thing.
> search for a small cave
You can't see any such thing.
> search for a secret passage
You can't see any such thing.
> search for a trap door
You can't see any such thing.
> search for a hidden tunnel
You can't see any such thing.
> search for a concealed door
You can't see any such thing.
> search for a hidden staircase
You can't see any such thing.
> search for a hidden room
You can't see any such thing.
> search for a hidden chamber
You can't see any such thing.
> search for a hidden compartment
You can't see any such thing.
> search for a secret lever
You can't see any such thing.
> search for a hidden switch
You can't see any such thing.
> search for a hidden panel
You can't see any such thing.
> search for a concealed passage
You can't see any such thing.
> search for a hidden key
You can't see any such thing.
> search for a hidden treasure
You can't see any such thing.
> search for a secret door
You can't see any such thing.
> search for a hidden staircase
You can't see any such thing.
> search for a secret room
You can't see any such thing.
> search for a hidden compartment
You can't see any such thing.
> search for a concealed entrance
You can't see any such thing.
> search for a hidden lever
You can't see any such thing.
> search for a secret passage
You can't see any such thing.
> search for a hidden switch
You can't see any such thing.
> search for a hidden button
You can't see any such thing.
> search for a hidden key
You can't see any such thing.
> search for a hidden trapdoor
You can't see any such thing.
> search for a hidden door
You can't see any such thing.
> search for a concealed panel
You can't see any such thing.
> search for a hidden compartment
You can't see any such thing.
> search for a secret room
You can't see any such thing.
> search for a hidden passage
You can't see any such thing.
> search for a concealed lever
You can't see any such thing.
> search for a hidden staircase
You can't see any such thing.
> search for a hidden switch
You can't see any such thing.
> search for a hidden button
You can't see any such thing.
> search for a hidden key
You can't see any such thing.
> search for a hidden compartment
You can't see any such thing.
> search for a secret door
You can't see any such thing.
> search for a hidden trapdoor
You can't see any such thing.
> search for a concealed passage
You can't see any such thing.
> search for a hidden panel
You can't see any such thing.
> search for a hidden lever
You can't see any such thing.
> search for a hidden bookshelf
You can't see any such thing.
> search for a hidden staircase
You can't see any such thing.
> search for a hidden switch
You can't see any such thing.
> search for a hidden compartment
You can't see any such thing.
> search for a hidden key
You can't see any such thing.
> search for a hidden passage
You can't see any such thing.
> search for a hidden door
You can't see any such thing.
> search for a hidden trapdoor
You can't see any such thing.
> search for a hidden button
You can't see any such thing.
> search for a hidden chest
You can't see any such thing.
> search for a hidden lever
You can't see any such thing.
> search for a hidden panel
You can't see any such thing.
> search for a hidden compartment
You can't see any such thing.
> search for a hidden switch
You can't see any such thing.
> search for a hidden staircase
You can't see any such thing.
> search for a hidden key
You can't see any such thing.
> search for a hidden passage
You can't see any such thing.
> search for a hidden door
You can't see any such thing.
> search for a hidden trapdoor
You can't see any such thing.
> search for a hidden button
You can't see any such thing.
> search for a hidden compartment
You can't see any such thing.
> search for a hidden lever
You can't see any such thing.
> search for a hidden panel
You can't see any such thing.
> search for a hidden switch
You can't see any such thing.
> search for a hidden keycard
You can't see any such thing.
> search for a hidden staircase
You can't see any such thing.
> search for a hidden passage
You can't see any such thing.
> search for a hidden entrance
You can't see any such thing.
> search for a hidden door
You can't see any such thing.
> search for a hidden trapdoor
You can't see any such thing.
> search for a hidden button
You can't see any such thing.
> search for a hidden compartment
You can't see any such thing.
> search for a hidden lever
You can't see any such thing.
> search for a hidden panel
You can't see any such thing.
> search for a hidden switch
You can't see any such thing.
> search for a hidden key
You can't see any such thing.
> search for a hidden passage
You can't see any such thing.
> search for a hidden staircase
You can't see any such thing.
> search for a hidden room
You can't see any such thing.
> search for a hidden door
You can't see any such thing.
> search for a hidden trapdoor
You can't see any such thing.
> search for a hidden button
You can't see any such thing.
> search for a hidden compartment
You can't see any such thing.
> search for a hidden lever
You can't see any such thing.
> search for a hidden panel
You can't see any such thing.
> search for a hidden switch
You can't see any such thing.
> search for a hidden key
You can't see any such thing.
> search for a hidden passage
You can't see any such thing.
> max_steps_exceeded
Scored 0 out of 50
